,processor_company,Ram_1,Ram_type,Processor,Brand,Operating_System,SSD,HDD,Touch_Screen,Price
145,Intel,8,DDR4,i5,Lenovo,win11,256,1020,no,63490
146,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
147,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
148,AMD,8,DDR4,r5,ASUS,win11,512,0,no,38990
149,Intel,8,DDR4,i5,HP,win11,512,0,no,67990
150,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
151,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
152,Intel,8,DDR4,i3,HP,win11,512,0,no,39790
153,Apple,16,Unified,M1P,APPLE,MacOS,1020,0,no,241990
154,Apple,8,DDR4,M1,APPLE,MacOS,512,0,no,104990
155,AMD,8,DDR4,r3,DELL,win11,512,0,no,42190
156,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
157,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
158,Intel,8,DDR4,i3,ASUS,win11,512,0,no,39990
159,Intel,16,DDR5,i7,ASUS,win11,1020,0,no,99990
160,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
161,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
162,Apple,32,Unified,M1M,APPLE,MacOS,1020,0,no,309490
163,Intel,16,DDR4,i5,ASUS,win11,256,1020,no,64990
164,AMD,16,DDR4,r7,ASUS,win11,512,0,no,89990
165,AMD,16,DDR4,r7,ASUS,win10,512,0,no,85990
166,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
167,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,44990
168,Apple,16,Unified,M1P,APPLE,MacOS,1020,0,no,222990
170,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
171,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
172,Intel,8,DDR4,i3,DELL,win11,256,1020,no,45900
173,Intel,16,LPDDR4X,i7,ASUS,win11,512,0,no,79990
174,Intel,8,DDR4,i5,ASUS,win11,512,0,no,56990
175,AMD,8,DDR4,r3,DELL,win11,256,0,no,34990
176,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
177,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
178,Intel,8,DDR4,i3,DELL,win11,512,0,no,43580
179,AMD,16,DDR4,r5,Lenovo,win10,512,0,yes,74990
180,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
181,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
182,Intel,8,DDR4,i3,Lenovo,win10,512,0,no,37490
183,Intel,4,LPDDR4X,Celeron,Infinix,win11,128,0,no,20990
184,Intel,16,DDR4,i7,MSI,win11,512,0,no,109990
185,Intel,16,LPDDR4,i5,ASUS,win11,512,0,no,71990
186,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
187,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
188,Intel,8,LPDDR4X,i3,Infinix,win11,512,0,no,32990
189,AMD,8,DDR4,r5,MSI,win10,512,0,no,43990
190,AMD,8,DDR4,r7,Lenovo,win11,512,0,no,73490
191,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
192,AMD,8,DDR4,r3,acer,win11,256,0,no,25990
193,Intel,16,DDR4,i9,ASUS,win10,1020,0,no,122990
194,Intel,16,DDR4,i5,acer,win11,512,0,no,68990
195,Intel,8,DDR4,i5,acer,win11,512,0,no,59990
196,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
197,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
198,AMD,8,DDR4,r5,acer,win10,512,0,no,39990
199,Intel,8,DDR4,i3,ASUS,win10,0,1020,no,37990
200,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
201,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
202,Intel,4,DDR4,Celeron,Lenovo,win10,256,0,no,25950
203,Intel,16,LPDDR4X,i5,realme,win11,512,0,no,64999
204,AMD,8,DDR4,r5,HP,win11,512,0,no,60990
205,Intel,8,DDR4,i3,ASUS,win11,512,0,no,36990
206,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
207,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
209,Apple,16,Unified,M1P,APPLE,MacOS,512,0,no,222990
210,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
211,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
212,Intel,16,DDR5,i9,DELL,win11,1020,0,no,235283
213,Intel,8,DDR4,i3,DELL,win11,512,0,no,38990
214,AMD,16,DDR4,r7,ASUS,win11,512,0,no,67990
215,Intel,16,DDR4,i5,MSI,win11,512,0,no,79990
216,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
217,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
218,AMD,16,DDR4,r7,ASUS,win11,512,0,no,67990
219,Intel,16,DDR4,i5,MSI,win11,512,0,no,79990
220,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
221,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
222,Intel,16,LPDDR5,i5,ASUS,win11,512,0,no,89990
223,Intel,32,DDR5,i9,ASUS,win11,1020,0,no,241990
224,Intel,8,DDR4,i5,ASUS,win11,512,0,no,43490
225,Intel,8,DDR4,i3,realme,win10,256,0,no,46990
226,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
227,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
229,Apple,8,DDR4,M1,APPLE,MacOS,256,0,no,94990
230,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
231,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
232,Intel,16,DDR4,i7,MSI,win10,1020,0,no,114990
233,Apple,8,Unified,M2,APPLE,MacOS,256,0,no,121990
234,Intel,8,DDR4,i3,ASUS,win10,0,1020,no,37990
235,Intel,8,DDR4,Pentium,ASUS,win11,256,0,no,27990
236,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
237,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,44990
238,AMD,8,DDR4,r3,DELL,win11,512,0,no,40190
239,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,34990
240,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
241,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
242,Intel,16,LPDDR4X,i7,ASUS,win10,1020,0,yes,94990
243,Intel,8,DDR4,i5,Lenovo,win11,512,0,no,69990
244,Intel,8,DDR4,i5,ASUS,win11,512,0,no,59990
245,Intel,16,DDR4,i5,ASUS,win11,512,0,yes,66990
246,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
247,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
248,Intel,16,LPDDR4X,i7,ASUS,win11,512,0,yes,104990
249,Intel,8,DDR4,i3,DELL,win11,256,0,yes,54900
250,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
251,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
252,AMD,16,DDR4,r7,Lenovo,win11,1020,0,no,136990
253,AMD,8,DDR4,r5,DELL,win11,512,0,no,48184
254,Intel,16,DDR4,i5,ASUS,win11,512,0,no,74990
255,Intel,8,DDR4,i5,acer,win11,512,0,no,60990
256,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
257,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
258,AMD,8,DDR4,r5,HP,win11,512,0,no,49990
